date,bike_rents
2016-07-01,30500
2016-08-01,30305
2016-08-11,30355
2016-09-01,30388
2016-10-01,30551
2016-11-01,30074
2016-11-11,30213
2016-12-01,30856
2017-02-11,94494
2017-02-21,62886
2017-03-01,31515
2017-03-11,31341
2017-04-01,31515
2017-09-01,29936
2017-10-01,30408
2018-01-13,31460
2018-02-01,31203
2018-03-01,31805
2018-04-01,31678
2018-05-01,31487
2018-06-01,31004
2018-07-01,30354
2018-08-01,29864
2018-09-01,30386
2018-12-01,31429
2019-01-01,31751
2019-02-01,32008
2019-03-01,31794
2019-04-01,32015
2019-05-01,31322
2019-06-01,30946
2019-08-01,28833
2019-09-01,28651
2019-10-01,29349
