date,bike_rents,temp_actual(C),temp_feeling(C),humidity,wind_speed,weather_condition,holiday(y/n),weekend(y/n),season
2015-01-04,9234,2.48,0.65,94.27,7.5,partly cloudy,False,True,winter
2015-01-05,20372,8.04,6.71,80.31,8.85,partly cloudy,False,False,winter
2015-01-06,20613,7.85,5.33,78.9,16.0,clear,False,False,winter
2015-01-07,21064,7.46,4.5,78.11,19.76,few clouds,False,False,winter
2015-01-08,15601,9.75,7.79,79.31,20.48,few clouds,False,False,winter
2015-01-09,22104,12.73,12.33,74.85,32.92,partly cloudy,False,False,winter
2015-01-10,14709,10.48,8.71,66.12,34.31,partly cloudy,False,True,winter
2015-01-11,14575,6.65,2.46,67.58,26.56,clear,False,True,winter
2015-01-12,17199,11.12,9.75,76.58,28.19,rain,False,False,winter
2015-01-13,24697,8.6,6.08,75.81,21.21,rain,False,False,winter
2015-01-14,23565,6.5,2.48,67.12,25.75,few clouds,False,False,winter
2015-01-15,22968,8.83,5.62,66.46,31.17,few clouds,False,False,winter
2015-01-16,22663,5.79,2.54,66.23,17.46,clear,False,False,winter
2015-01-17,15268,3.79,0.56,75.1,13.58,clear,False,True,winter
2015-01-18,13199,3.4,1.92,84.33,6.98,rain,False,True,winter
2015-01-19,23034,2.42,0.79,80.0,6.19,partly cloudy,False,False,winter
2015-01-20,23247,2.06,-0.17,81.96,9.17,clear,False,False,winter
2015-01-21,22782,3.04,-0.38,84.27,14.73,cloudy,False,False,winter
2015-01-22,23278,2.58,1.04,74.48,6.73,partly cloudy,False,False,winter
2015-01-23,21892,2.71,-0.02,79.42,12.42,clear,False,False,winter
2015-01-24,17539,5.71,2.33,72.73,18.06,clear,False,True,winter
2015-01-25,15094,5.52,2.31,77.38,16.17,partly cloudy,False,True,winter
2015-01-26,22710,8.56,5.73,75.21,18.96,partly cloudy,False,False,winter
2015-01-27,25000,6.96,4.15,72.38,15.29,clear,False,False,winter
2015-01-28,21536,6.98,2.92,71.02,29.15,clear,False,False,winter
2015-01-29,21275,3.77,-1.25,73.52,26.56,few clouds,False,False,winter
2015-01-30,21171,3.98,0.19,77.08,17.48,partly cloudy,False,False,winter
2015-01-31,10250,3.42,-0.92,77.92,20.12,rain,False,True,winter
2015-02-01,11305,3.79,-0.9,67.0,24.77,partly cloudy,False,True,winter
2015-02-02,21640,1.25,-2.4,64.85,12.62,clear,False,False,winter
2015-02-03,19869,2.17,-1.04,85.5,11.83,partly cloudy,False,False,winter
2015-02-04,21850,2.88,-0.52,80.69,14.12,partly cloudy,False,False,winter
2015-02-05,21200,2.9,-0.92,78.1,16.02,few clouds,False,False,winter
2015-02-06,20955,2.69,-1.67,69.85,19.27,few clouds,False,False,winter
2015-02-07,13149,3.75,1.02,83.02,11.31,partly cloudy,False,True,winter
2015-02-08,15778,5.44,3.15,76.21,10.25,few clouds,False,True,winter
2015-02-09,23858,5.71,3.85,81.44,9.21,few clouds,False,False,winter
2015-02-10,23559,5.5,4.37,79.61,6.48,cloudy,False,False,winter
2015-02-11,23680,5.04,3.17,77.44,7.65,cloudy,False,False,winter
2015-02-12,23227,3.98,2.38,73.12,7.21,cloudy,False,False,winter
2015-02-13,17699,6.98,4.02,84.54,17.81,rain,False,False,winter
2015-02-14,14423,7.31,5.1,88.69,12.38,partly cloudy,False,True,winter
2015-02-15,16952,6.69,5.33,86.17,7.33,partly cloudy,False,True,winter
2015-02-16,16381,6.04,4.06,89.71,9.75,rain,False,False,winter
2015-02-17,25064,5.85,3.48,68.71,12.19,clear,False,False,winter
2015-02-18,25132,6.4,3.73,71.27,15.17,clear,False,False,winter
2015-02-19,16898,7.27,3.9,81.5,21.12,rain,False,False,winter
2015-02-20,20715,6.65,4.81,81.33,9.42,few clouds,False,False,winter
2015-02-21,16198,4.81,1.62,76.33,16.21,few clouds,False,True,winter
2015-02-22,9086,5.12,1.42,80.92,21.25,clear,False,True,winter
2015-02-23,21764,6.94,2.94,66.85,25.88,few clouds,False,False,winter
2015-02-24,23688,7.19,3.15,66.15,27.0,few clouds,False,False,winter
2015-02-25,21592,9.08,7.67,77.31,11.1,few clouds,False,False,winter
2015-02-26,20036,9.25,7.44,81.73,16.92,rain,False,False,winter
2015-02-27,24367,5.94,3.1,66.27,14.31,clear,False,False,winter
2015-02-28,13529,8.69,5.75,83.58,23.08,partly cloudy,False,True,winter
2015-03-01,15641,9.19,6.42,66.69,29.58,few clouds,False,True,spring
2015-03-02,22258,6.06,1.73,62.81,28.31,clear,False,False,spring
2015-03-03,23845,6.58,2.85,64.19,23.04,few clouds,False,False,spring
2015-03-04,24485,6.69,3.27,64.67,20.21,clear,False,False,spring
2015-03-05,24896,7.5,5.21,65.27,16.69,clear,False,False,spring
2015-03-06,25337,9.1,7.19,63.29,17.52,clear,False,False,spring
2015-03-07,27365,11.04,9.65,64.31,18.4,clear,False,True,spring
2015-03-08,20017,10.04,9.04,78.85,14.23,few clouds,False,True,spring
2015-03-09,24037,8.35,6.42,82.83,14.31,partly cloudy,False,False,spring
2015-03-10,27674,8.92,7.4,65.46,10.62,clear,False,False,spring
2015-03-11,27419,8.75,7.6,73.73,11.23,clear,False,False,spring
2015-03-12,28131,10.0,8.96,56.21,13.58,clear,False,False,spring
2015-03-13,25700,8.5,6.62,61.27,17.77,clear,False,False,spring
2015-03-14,18101,6.15,2.96,66.98,17.96,cloudy,False,True,spring
2015-03-15,10662,6.31,3.31,82.21,16.31,rain,False,True,spring
2015-03-16,19824,7.0,4.52,81.77,13.69,partly cloudy,False,False,spring
2015-03-17,25780,8.48,7.17,85.88,10.21,few clouds,False,False,spring
2015-03-18,26439,6.9,4.58,80.06,12.21,partly cloudy,False,False,spring
2015-03-19,24077,7.25,4.54,79.15,15.08,cloudy,False,False,spring
2015-03-20,25226,7.54,5.83,75.48,9.85,clear,False,False,spring
2015-03-21,16116,7.62,4.9,72.04,16.48,partly cloudy,False,True,spring
2015-03-22,18618,5.85,3.33,67.73,12.4,partly cloudy,False,True,spring
2015-03-23,25592,8.0,6.48,66.17,11.92,few clouds,False,False,spring
2015-03-24,24083,7.54,5.92,69.81,9.35,rain,False,False,spring
2015-03-25,25672,6.21,4.65,67.08,7.94,clear,False,False,spring
2015-03-26,20305,8.42,6.19,70.38,20.83,clear,False,False,spring
2015-03-27,26348,8.83,6.92,60.5,15.73,clear,False,False,spring
2015-03-28,18986,11.56,11.15,80.12,22.9,partly cloudy,False,True,spring
2015-03-29,8592,11.3,10.09,77.45,30.77,rain,False,True,spring
2015-03-30,22106,9.62,7.4,64.56,26.33,few clouds,False,False,spring
2015-03-31,22602,10.85,9.7,55.15,41.9,clear,False,False,spring
2015-04-01,23539,8.5,4.94,59.85,31.71,few clouds,False,False,spring
2015-04-02,22682,9.06,7.12,66.35,14.81,clear,False,False,spring
2015-04-03,11298,9.4,8.58,88.08,7.92,rain,True,False,spring
