,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
77361,200501020019,2005,1,2,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Kilrea,54.95108199999999,-6.558998,1.0,0,Derry City (District),"01/02/2005: A pipe bomb was placed outside the home of a party election worker in Bradden Place, in County Londonderry, Northern Ireland. When the device was found, the fuse had been burned out. Bomb experts were able to safely defuse the remnants of the device.",1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Northern Ireland Political Party,"The private residence of a party election worker in Bradden Place, in County Londonderry",233.0,Northern Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,The device was made safe by Army bomb disposal experts.,"""Pipe bomb attack on home,"" British Broadcasting Corporation, January 3, 2005.",,,CETIS,-9,-9,1,1,
77694,200503190010,2005,3,19,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0,Antrim (County). The north section of the city. A Protestant owned house.,03/19/2005: A petrol bomb was thrown at the home of a Protestant family in north Belfast's Gunnell Hill area. The bomb caused minor scorch damage to the home but did not cause any injuries.  This is the second time this family has been targeted in the past month.  No one claimed responsibility for the attack.,1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,69.0,Religion Identified,North Irish Protestants,A Protestant Owned House,96.0,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A petrol bomb scorched the side of the targeted house.,0.0,,,,,,,,,,,,,,,,The petrol bomb was thrown during a mob gathering and the individual thrower could not be identified. The crowed had assembled around this house to protest recent violence. This is the second time this family has been the target of violence.,"""HOUSE PETROL BOMBED AS TENSIONS RISE.""","""HOME HIT BY PETROL BOMB.""",,CETIS,-9,-9,1,1,
77709,200503200012,2005,3,20,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0,Antrim (County). Gunnell Hill in the Whitewell area,"03/20/2005: A petrol bomb was thrown into a home in Gunnell Hill in the Whitewell area of Belfast, Northern Ireland, but didn't cause any damage or injuries. The attack comes at the end of a weekend of sectarian disturbances in the area. The troubles may have been caused by the arrest and alleged assault of a 14-year-old from a loyalist area.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians,96.0,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,"the petrol bomb caused minor ""scorch"" damage to the house.",0.0,,,,,,,,,,,,,,,,This Protestant family's home has been targeted before. A mob assembled and threw a petrol bomb at the house.,"""HOUSE PETROL BOMBED AS TENSIONS RISE,","""HOME HIT BY PETROL BOMB,",,CETIS,-9,-9,1,1,
77746,200503260006,2005,3,26,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Antrim,54.713381999999996,-6.216761,1.0,0,County Antrim,03/26/2005: A fire bomb detonated at a Next shopping outlet in Northern Ireland (city not stated). The blast caused fire damage to the premises. Authorities are blaming this attack and a spate of fire bombings in the area on dissident republicans. No one claimed responsibility for the attack.,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,The Next Outlet,A shopping Center in North Ireland,96.0,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,Local Authorities are blaming this attack and a spate of fire bombings in the area on dissident republicans,"""Alert after firebomb attacks,",,,CETIS,-9,-9,1,1,
77757,200503280004,2005,3,28,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Newtownards,54.595016,-5.7031089999999995,1.0,0,"The incident occurred at the Ards Shopping Center, County Down.","03/28/2005: An explosive device was found burned out at the Ards shopping center in Newtownsard, Northern Ireland. This was one of three such devices found in the area, which authorities are blaming on dissident republicans. No one claimed responsibility for planting the devices.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,The Ards Shopping Center,Ards Shoppers,96.0,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,6,Explosives,17.0,Other Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The device burned out the waste receptacle in which it was placed.,0.0,,,,,,,,,,,,,,,,Part of a series of fire bombings which have been targeting Republican areas of Northern Ireland,"""Alert after firebomb attacks,",,,CETIS,-9,-9,1,1,
77758,200503280005,2005,3,28,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Upper Galwally,54.564893000000005,-5.907882,1.0,0,Antrim (County). Forestside,"03/28/2005: In Northern Ireland, an incendiary device was found and neutralized at a Belfast shopping complex. The device caused a major traffic back-up and the shopping center had to be evacuated for hours. Authorities are blaming this attempted attack and two others in the area on dissident republicans. No one claimed responsibility for planting the device.",1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,The Dunnes Stores,Dunnes Shoppers,96.0,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,The store was closed for a time while the device was removed for forensic examination.,"""Alert after firebomb attacks,",,,CETIS,-9,-9,1,1,
77910,200504140006,2005,4,14,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Lisburn,54.515693999999996,-6.055724,1.0,0,Ulster (Province),"04/14/2005: A dissident group of the IRA has been believed to plant an explosive device outside of a civil center in Lisburn, in Antrim County, in Northern Ireland. Bomb experts discovered the bomb and defused it safely in time. The bomb was described as crude but viable, and potentially lethal. After an anonymous caller warned of the device, three hundred fifty people were evacuated from the civic center where they had gathered to watch a theater production; there were no reported injuries.",1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,79.0,"Public Area (garden, parking lot, garage, beach, public building, camp)",Civilian(s),"Civilians at the Civil Center in Lisburn, Antrim County",233.0,Northern Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,The police said the bomb was believed to have been planted by a dissident group of the IRA opposed to the peace process in the mostly Protestant town of Lisburn.,0.0,,,0,,,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,"The bomb was described by bomb experts as crude but viable, and potentially lethal.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"The anonymous caller warned it would detonate twenty-five minutes after the warning. Also, the IRA have been highly implicated in this attack. Dissident republican groups opposed to the Northern Ireland peace process have been blamed in the past for similar devices. ""The Irish Republican Army has been observing a cease-fire in its campaign against British rule in the province, but splinter factions continue to attempt sporadic attacks"" (The New York Times).","World Briefing Europe: Northern Ireland: Bomb Left at Theater, The New York Times, April 16, 2005.","350 Evacuated After Bomb Planted in Front of Theatre in Northern Ireland, Agence France Presse, April 15, 2005.",,CETIS,-9,-9,1,1,
77994,200505020002,2005,5,2,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Whitehouse,54.656828000000004,-5.905191,1.0,1,Ulster (Province),"05/02/2005: Suspected Irish Republican Army members planted a pipe bomb at Gideon's Green, Newtownabbey in Belfast that was discovered along the route of the Belfast Marathon. It was disabled before it could harm anyone, including the target of the attack, Chief Constable Hugh Orde. An unidentified perpetrator called in a warning about the bomb indicating that Hugh Orde was the intended target of the attack.",1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,3,Police,25.0,Police Security Forces/Officers,Northern Ireland Police,Chief Constable Hugh Orde,233.0,Northern Ireland,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Participants in the Belfast Marathon,999.0,Multinational,,,,,,,,,Irish Republican Army (IRA),,,,,,The bomb was intended to kill Chief Constable Hugh Orde.,1.0,,,0,,0.0,1.0,3.0,Call (pre-incident),,,,,,,-9.0,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,An anonymous man called a journalist about the attack but he did not give the name of the group. Authorities believed from the information given it was the work of dissident republicans. The Belfast Marathon's course was altered when authorities discovered the bomb.,"Debra Douglass and Andrea Clements, Orde 'Was Target of Bombers', Belfast Telegraph, May 03, 2005.","Cameron Simpson, Terrorists Try to Blow up Police Chief as he Runs in Belfast Marathon, The Herald, May 03, 2005.","Marathon Bombers in Threat to Kill Police Chief, Irish Independent, May 03, 2005.",CETIS,0,1,1,1,
78345,200506260002,2005,6,26,,0,,603,United Kingdom,8,Western Europe,England,London,51.504387,-0.140041,1.0,0,London (Region). Great Britain,"06/26/2005: The Animal Liberation Front (ALF) claimed on a website that they had put an incendiary device under the car of Michael Kendall when it was in his garage in London, England. The car burst into flames but there were no casualties. Kendall was a finance director for the stockbrokers Canaccord Capital, which had provided services to the Phytopharm biotechnology group. Phytopharm had been a customer of Huntingdon Life Sciences, which is a research laboratory condemned by animal rights extremists. ALF said that anyone connected with Huntingdon Life Sciences could be a target.",1,1,1,0.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,68.0,Named Civilian,Unknown,Michael Kendell,216.0,Great Britain,,,,,,,,,,,,,,,,,Animal Liberation Front (ALF),,,,,,ALF said that anyone connected with Huntingdon Life Sciences would be a target.,1.0,,,0,,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,-9.0,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,,0.0,,,,,,,,,,,,,,,,"As a result of the attack, Canaccord Capital ended its business relationship with Phytopharm, which was the goal of ALF.","Focus: He was not a scientist and did not harm animals but they blew up his car anyway Independent.  June 26, 2005.",,,CETIS,0,1,1,1,
78370,200507010008,2005,7,1,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1.0,0,Ulster (Province). Newtownards Road,"07/01/2005: A man was shot and killed in Northern Irelands capital city of Belfast while working on the demolition of a prominent Protestant pub. Police blamed the attack on a Protestant extremist organization called the Ulster Volunteer Force (UVF), but no one claimed responsibility for the attack.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Catholic Church,N. Ireland Catholics,96.0,Ireland,,,,,,,,,,,,,,,,,Ulster Volunteer Force (UVF),,,,,,Unknown,0.0,,,0,1.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,The victim in the shooting was a protestant but motivation for the attack is thought to be religious and the responsibility of Protestant extremists.,"Angelique Chrisafis, Belfast Murder Sparks Fears of New Loyalist Feud, The Guardian, July 2, 2005.","Protestant paramilitary feud feared as Belfast man shot to death, The Associated Press, July 1, 2005.","The World, The Augusta Chronicle, July 2, 2005.",CETIS,0,1,1,1,
